,name,artists,acousticness,liveness,instrumentalness,energy,danceability,valence
1671,Tennessee Whiskey,ChrisStapleton,0.205,0.0821,0.0096,0.37,0.392,0.512
853,Element,PopSmoke,0.0301,0.251,2.18e-06,0.878,0.772,0.305
1326,River,BishopBriggs,0.302,0.0579,2.97e-06,0.477,0.733,0.545
2893,Edelweiss,BillLeeCharmianCarr,0.785,0.126,0.000464,0.156,0.233,0.354
1163,Cradles,SubUrban,0.27,0.179,6.48e-05,0.585,0.581,0.63
2102,Make You Feel My Love,Adele,0.907,0.105,0.000383,0.172,0.317,0.0963
1012,Lover,TaylorSwift,0.492,0.118,1.58e-05,0.543,0.359,0.453
1339,SAD!,XXXTENTACION,0.258,0.123,0.00372,0.613,0.74,0.473
3055,I Got It Bad And That Ain't Good,OscarPetersonTrio,0.971,0.0882,0.911,0.0527,0.488,0.193
2814,Sweet Caroline,NeilDiamond,0.611,0.237,0.000109,0.127,0.529,0.578
0,Naina - Lofi Flip,Mrunal Meena,0.72,0.299,0.897,0.258,0.641,0.321
